Designator,Footprint,Quantity,Value,LCSC Part #
"32U4_1, 32U4_2",SOT-23,2,BSS138, C192057
"A1, A10, A11, A12, A13, A14, A15, A16, A2, A3, A4, A5, A6, A7, A8, A9",XDCR_TSSP4038,16,TSSP4038,
C1,CP_Radial_D5.0mm_P2.50mm,1,150,C59923
C10,0805,1,10u, C1713
"C11, C12, C3, C4, C5, C6, C7, C9",0603,8,0.1u,C1581
C13,CP_Radial_D5.0mm_P2.00mm,1,47μf,
"C14, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C8",0603,16,0.1,C1581
C15,0603,1,0.1,C1848 
C2,1206,1,1u,C1848 
"D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D20, D5, D6, D7, D8, D9",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,16,WS2812B,
D2,D_A-405_P10.16mm_Horizontal,1,D_Schottky,
D3,D_SOD-123F,1,D,
FFC1,TE_84952-6_1x06-1MP_P1.0mm_Horizontal,1,Conn_01x06_Socket,
J1,PinHeader_2x02_P2.54mm_Vertical,1,Conn_02x02_Odd_Even,
J11,PinSocket_2x03_P2.54mm_Vertical,1,Conn_02x03_Odd_Even,
J3,PinHeader_2x02_P2.54mm_Vertical,1,Conn_02x02_Counter_Clockwise,
J4,PinSocket_1x04_P2.54mm_Vertical,1,USS_1,
J5,PinSocket_1x04_P2.54mm_Vertical,1,USS_3,
J6,PinSocket_1x04_P2.54mm_Vertical,1,USS_2,
J7,PinSocket_1x04_P2.54mm_Vertical,1,USS_4,
J8,NELTRON_5077CR-16SMC2-BK-TR,1,TYPE-C_32U4,
J9,NELTRON_5077CR-16SMC2-BK-TR,1,TYPE-C_main,
"R1, R2, R3, R4",1206,4,22,C17958 
"R10, R11, R14, R9",1206,4,10k, C1489
"R12, R18, R6",1206,3,110,C17909
"R13, R17, R19, R8",0603,4,5.1k,C26033
"R5, R7",1206,2,10k,C1489
SW1,Switch_SKRPABE010,1,SW_Push,
U1,TQFP-44_10x10mm_P0.8mm,1,ATmega32U4-A, C44854
U2,XIAO-ESP32-S3-SMD,1,XIAO-ESP32-S3-DIP,
U3,TO-252-2,1,LDO_3v3,
XTAL1,CSTNE16M0V530000R0_MUR,1,XTAL_32U4,
