Designator,Mid X,Mid Y,Rotation,Layer
32U4_1,118.684,-99.5304,90.0,top
32U4_2,114.059,-99.5304,90.0,top
A1,149.999998,-56.700001,180.0,bottom
A10,133.429806,-140.003985,22.5,bottom
A11,119.382274,-130.617725,45.0,bottom
A12,109.996014,-116.570193,67.5,bottom
A13,106.699998,-100.000001,90.0,bottom
A14,109.996014,-83.429809,112.5,bottom
A15,119.382274,-69.382277,135.0,bottom
A16,133.429806,-59.996017,157.5,bottom
A2,166.57019,-59.996017,202.5,bottom
A3,180.617722,-69.382277,225.0,bottom
A4,190.003982,-83.429809,247.5,bottom
A5,193.299998,-100.000001,270.0,bottom
A6,190.003982,-116.570193,292.5,bottom
A7,180.617722,-130.617725,315.0,bottom
A8,166.57019,-140.003985,337.5,bottom
A9,149.999998,-143.2848,0.0,bottom
C1,124.7524,-80.410688,270.0,top
C10,168.38,-79.68,270.0,top
C11,166.475,-79.6129,270.0,top
C12,172.1075,-75.38,180.0,bottom
C13,176.6606,-76.4072,0.0,top
C14,180.861,-76.1035,270.0,top
C15,127.709936,-57.613154,292.5,top
C16,145.51,-52.17,270.0,top
C17,164.19,-54.12,247.5,top
C18,180.72,-63.23,225.0,top
C19,192.46,-77.58,202.5,top
C2,115.93,-120.91,180.0,top
C20,197.78,-95.69,180.0,top
C21,195.81,-114.29,157.5,top
C22,186.8,-130.7,135.0,top
C23,172.31,-142.52,112.5,top
C24,149.7925,-140.37,180.0,top
C25,128.91,-139.39,247.5,top
C26,115.46,-128.39,225.0,top
C27,107.233154,-112.700064,202.5,top
C28,105.6475,-95.49,180.0,top
C29,110.673154,-78.879936,157.5,top
C3,124.01,-129.75,0.0,bottom
C4,133.122,-126.5523,90.0,top
C5,130.1248,-114.4018,180.0,bottom
C6,121.2737,-114.4018,0.0,bottom
C7,116.8885,-118.0676,0.0,top
C8,113.2,-69.41,315.0,top
C9,117.1275,-123.22,0.0,top
D10,150.0,-147.0,0.0,top
D11,132.013879,-143.422338,337.5,top
D12,116.765981,-133.234019,315.0,top
D13,106.577662,-117.986121,292.5,top
D14,103.0,-100.0,270.0,top
D15,106.577662,-82.013879,247.5,top
D16,116.765981,-66.765981,225.0,top
D17,132.013879,-56.577662,202.5,top
D18,150.0,-53.0,180.0,top
D19,167.986121,-56.577662,157.5,top
D2,180.8864,-84.205,90.0,top
D20,183.234019,-66.765981,135.0,top
D3,171.9456,-77.3978,180.0,bottom
D5,193.422338,-82.013879,112.5,top
D6,197.0,-100.0,90.0,top
D7,193.422338,-117.986121,67.5,top
D8,183.234019,-133.234019,45.0,top
D9,167.986121,-143.422338,22.5,top
FFC1,168.59,-126.31,0.0,bottom
J1,131.124907,-80.409146,0.0,top
J11,167.04,-119.33,270.0,top
J3,124.55814060355912,-138.0036077883107,56.25,top
J4,149.99,-84.025,270.0,top
J5,150.01,-115.975,90.0,top
J6,165.975,-99.99,180.0,top
J7,134.025,-100.01,0.0,top
J8,141.04015,-145.1467,348.75,top
J9,158.913475,-145.0617,11.25,top
R1,165.05,-135.8,180.0,top
R10,118.7326,-103.9731,90.0,top
R11,114.06,-96.44,180.0,top
R12,142.65,-138.8,348.75,top
R13,144.444967,-142.67802,348.75,top
R14,114.0844,-103.9116,90.0,top
R17,156.155033,-142.27802,191.25,top
R18,157.965602,-139.18532,191.25,top
R19,160.65,-141.35,11.25,top
R2,165.054,-133.0942,180.0,top
R3,130.0975,-134.93,180.0,top
R4,130.0975,-132.69,180.0,top
R5,119.735,-111.1525,270.0,top
R6,130.0766,-130.35,180.0,top
R7,133.5408,-117.5875,90.0,top
R8,139.55,-141.7,168.75,top
R9,118.7,-96.45,180.0,top
SW1,116.855,-111.985,90.0,top
U1,125.629,-122.1084,270.0,top
U2,179.0909,-101.6278,180.0,bottom
U3,172.6085,-85.1974,270.0,bottom
XTAL1,125.58,-130.48,180.0,top
