Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",C_Radial_D18.0mm_H35.5mm_P7.50mm,2,3300,
D1,D_SOD-323_HandSoldering,1,SBD,
"D2, D3",D_SOD-123F,2,D,
K1,SMDIP-8_W7.62mm,1,AQW212EHA,
LED_D1,0603,1,LED,
"MAIN_1, MAIN_2",JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,2,Conn_01x03_Socket,
Q1,TO-252-2,1,PMOS,
Q2,TO-220-3_Horizontal_TabDown,1,NMOS,
R2,1206,1,68,
R3,1206,1,1.6k,C4908
R4,2512,1,1k,C31884
R5,2512,1,3.3k,C1469
R6,2512,1,150,C25471
R7,2512,1,3k,C2934109
R8,1206,1,1.6k,C102100 
R9,1206,1,10k,
SOLE2,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02_Socket,
