Designator,Mid X,Mid Y,Rotation,Layer
C1,177.125,-106.775,0.0,top
C2,131.525,-106.7,0.0,top
D1,171.45,-94.425,90.0,bottom
D2,147.975,-99.4,0.0,bottom
D3,160.825,-111.5,270.0,bottom
K1,160.675,-99.55,270.0,top
LED_D1,135.925,-91.2,180.0,top
MAIN_1,153.0,-90.0,0.0,top
MAIN_2,164.0,-90.0,0.0,top
Q1,148.125,-100.345,180.0,top
Q2,154.8,-110.425,90.0,top
R2,166.4,-112.5625,270.0,bottom
R3,150.45,-93.5,270.0,bottom
R4,145.2,-102.975,180.0,bottom
R5,152.35,-100.2375,270.0,bottom
R6,144.4125,-96.025,0.0,bottom
R7,136.0,-93.325,270.0,bottom
R8,153.0,-93.525,270.0,bottom
R9,166.35,-107.6375,270.0,bottom
SOLE2,143.15,-90.0,0.0,top
