Designator,Mid X,Mid Y,Rotation,Layer
50K1,139.95,-90.75,90.0,bottom
BATT_1,167.94,-91.02,0.0,top
C1,131.18,-107.04,0.0,top
C2,177.4,-107.04,0.0,top
C3,169.36,-93.8,180.0,bottom
C4,175.03,-95.71,90.0,top
C5,146.6375,-114.37,180.0,top
C6,135.05,-97.2825,270.0,top
D1,138.13,-97.08,0.0,bottom
D2,160.3325,-113.35,0.0,top
D3,160.45,-93.66,180.0,bottom
D4,138.13,-94.68,180.0,bottom
K1,162.92,-105.31,270.0,top
L1,163.34,-103.105,270.0,bottom
LED_D1,134.37,-90.0975,90.0,top
MAIN_1,149.58,-91.03,0.0,top
Q1,152.7425,-102.055,90.0,bottom
Q2,144.46,-102.045,90.0,bottom
R1,150.63,-113.98,180.0,top
R10,140.9275,-114.0,0.0,top
R15,144.3775,-110.6,0.0,top
R3,165.2225,-98.51,0.0,top
R4,152.77,-110.75,0.0,top
R5,155.4,-113.94,0.0,top
R6,166.4475,-113.22,0.0,top
R7,139.8275,-90.2,180.0,top
R8,160.1325,-98.52,0.0,top
SOLE2,159.36,-91.02,0.0,top
VR1,146.45,-100.9,180.0,top
