Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C11, C7, C8, C9",0603,5,0.1u,C1555
C14,C_Elec_5x5.4,1,100u,
C16,C_Elec_4x5.4,1,1u,C3348
C2,0603,1,0.1,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D3, D37, D38, D39, D4, D40, D5, D6, D7, D8, D9",0603,32,NJL,
"D29, D30, D31, D32, D33, D34, D35, D36",D_SOD-323,8,SBD,
"J1, LINE_1",JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal,2,Conn_01x02_Socket,
J2,PinHeader_2x02_P2.54mm_Vertical,1,Conn_02x02_Counter_Clockwise,
J3,JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,1,Conn_01x04_Socket,
"J4, J5, J6",PinSocket_1x07_P2.54mm_Vertical,3,Conn_01x07_Socket,
"LED_1, LED_10, LED_11, LED_12, LED_13, LED_14, LED_15, LED_16, LED_17, LED_18, LED_19, LED_2, LED_20, LED_21, LED_22, LED_23, LED_24, LED_25, LED_26, LED_27, LED_28, LED_29, LED_3, LED_30, LED_31, LED_32, LED_4, LED_5, LED_6, LED_7, LED_8, LED_9",0603,32,LED,
"R1, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R2, R20, R21, R22, R23, R24, R3, R4, R41, R42, R45, R46, R5, R6, R7, R8, R88, R9, R90, R91, R92",0603,32,100k,C23098
"R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R38, R43, R44, R79",1206,16,56,C17995
"R37, R49",0603,2,10k,C23098
"R39, R51, R52, R53, R54, R55, R56, R58, R59, R60, R61, R62, R63, R64, R65, R66, R67, R68, R69, R70, R71, R72, R73, R74, R75, R76, R77, R78, R83, R84, R86, R89",0603,32,1k,C23098
R50,1206,1,110,C17909
U1,TQFP-100_14x14mm_P0.5mm,1,ATmega2560-16A,
"U10, U11, U12, U13, U14, U15, U16, U17, U2, U3, U4, U5, U6, U7, U8, U9",SOIC-8_3.9x4.9mm_P1.27mm,16,LM393,
XTAL1,CSTNE16M0V530000R0_MUR,1,CSTNE16M0V530000R0,
