Designator,Mid X,Mid Y,Rotation,Layer
C10,175.89,-190.45,90.0,bottom
C11,177.8475,-196.13,0.0,bottom
C14,221.4075,-193.3,0.0,top
C16,214.37,-193.18,180.0,top
C2,178.4025,-186.19,180.0,bottom
C7,184.0975,-186.89,180.0,bottom
C8,186.59,-192.08,270.0,bottom
C9,174.9625,-186.2,0.0,bottom
D1,200.000066,-204.0,270.0,bottom
D10,161.8163,-111.816234,45.0,bottom
D11,173.000066,-103.234628,60.0,bottom
D12,186.023837,-97.840006,75.0,bottom
D13,200.000066,-96.0,90.0,bottom
D14,213.976295,-97.840006,105.0,bottom
D15,227.000066,-103.234628,120.0,bottom
D16,238.183832,-111.816234,135.0,bottom
D17,246.765438,-123.0,150.0,bottom
D18,252.16006,-136.023771,165.0,bottom
D19,254.000066,-150.0,180.0,bottom
D2,186.023837,-202.159994,285.0,bottom
D20,252.16006,-163.976229,195.0,bottom
D21,246.765438,-177.0,210.0,bottom
D22,238.183832,-188.183766,225.0,bottom
D23,227.000066,-196.765372,240.0,bottom
D24,213.976295,-202.159994,255.0,bottom
D25,238.975915,-65.168679,205.0,bottom
D26,222.504772,-81.639822,235.0,bottom
D27,231.844577,-74.488484,220.0,bottom
D28,211.671629,-86.135341,250.0,bottom
D29,239.394164,-70.344439,122.5,bottom
D3,173.000066,-196.765372,300.0,bottom
D30,237.568329,-73.188878,302.5,bottom
D31,220.311361,-86.245164,152.5,bottom
D32,217.331361,-87.805164,332.5,bottom
D33,179.958639,-86.365164,27.5,bottom
D34,182.928639,-87.845164,207.5,bottom
D35,162.254165,-72.585561,237.5,bottom
D36,160.265835,-69.825561,57.5,bottom
D37,177.504772,-81.639822,305.0,bottom
D38,188.357915,-86.135341,290.0,bottom
D39,161.053629,-65.168679,335.0,bottom
D4,161.8163,-188.183766,315.0,bottom
D40,168.204967,-74.488485,320.0,bottom
D5,153.234694,-177.0,330.0,bottom
D6,147.840072,-163.976229,345.0,bottom
D7,146.000066,-150.0,0.0,bottom
D8,147.840072,-136.023771,15.0,bottom
D9,153.234694,-123.0,30.0,bottom
J1,231.36,-183.88,180.0,top
J2,168.89,-183.56,0.0,top
J3,220.33,-185.48,180.0,top
J4,241.025,-150.02,0.0,top
J5,199.98,-191.025,270.0,top
J6,158.975,-149.98,180.0,top
LED_1,192.951651,-203.538022,97.5,bottom
LED_10,167.126949,-107.15892,232.5,bottom
LED_11,179.335161,-100.110505,247.5,bottom
LED_12,192.951651,-96.461978,262.5,bottom
LED_13,207.048481,-96.461978,277.5,bottom
LED_14,220.664971,-100.110505,292.5,bottom
LED_15,232.873183,-107.15892,307.5,bottom
LED_16,242.841146,-117.126883,322.5,bottom
LED_17,249.889561,-129.335095,337.5,bottom
LED_18,253.538088,-142.951585,352.5,bottom
LED_19,253.538088,-157.048415,7.5,bottom
LED_2,179.335161,-199.889495,112.5,bottom
LED_20,249.889561,-170.664905,22.5,bottom
LED_21,242.841146,-182.873117,37.5,bottom
LED_22,232.873183,-192.84108,52.5,bottom
LED_23,220.664971,-199.889495,67.5,bottom
LED_24,207.048481,-203.538022,82.5,bottom
LED_25,235.705672,-70.062943,212.5,bottom
LED_26,227.421536,-78.369579,227.5,bottom
LED_27,217.225526,-84.243258,242.5,bottom
LED_28,205.878451,-87.283698,257.5,bottom
LED_29,164.326372,-70.062943,147.5,bottom
LED_3,167.126949,-192.84108,127.5,bottom
LED_30,172.610508,-78.369579,132.5,bottom
LED_31,182.784018,-84.243258,117.5,bottom
LED_32,194.131093,-87.283698,102.5,bottom
LED_4,157.158986,-182.873117,142.5,bottom
LED_5,150.110571,-170.664905,157.5,bottom
LED_6,146.462044,-157.048415,172.5,bottom
LED_7,146.462044,-142.951585,187.5,bottom
LED_8,150.110571,-129.335095,202.5,bottom
LED_9,157.158986,-117.126883,217.5,bottom
LINE_1,209.23,-183.85,180.0,top
R1,197.75954,-204.988555,270.0,top
R10,164.00058,-108.279654,131.25,top
R11,174.498827,-101.233353,120.0,top
R12,189.683769,-95.869377,101.25,top
R13,202.260592,-95.046445,90.0,top
R14,218.131202,-97.963358,71.25,top
R15,229.497383,-103.57388,60.0,top
R16,241.720412,-114.000514,41.25,top
R17,248.741184,-124.516261,30.0,top
R18,254.924042,-139.074942,11.25,top
R19,254.079741,-151.887843,0.0,top
R2,181.86893,-202.036642,251.25,top
R20,251.112828,-167.748453,341.25,top
R21,246.53,-179.24,330.0,top
R22,235.999552,-191.720346,311.25,top
R23,225.531305,-198.816647,300.0,top
R24,210.316363,-204.130623,281.25,top
R25,185.116788,-204.066327,75.0,top
R26,160.077596,-189.381207,45.0,top
R27,145.735581,-164.143925,15.0,top
R28,145.933673,-135.116788,345.0,top
R29,160.618793,-110.077596,315.0,top
R3,170.580249,-196.530591,240.0,top
R30,185.856075,-95.735581,285.0,top
R31,214.883212,-95.933673,255.0,top
R32,239.922404,-110.618793,225.0,top
R33,254.264419,-135.856075,195.0,top
R34,253.142447,-164.500529,165.0,top
R35,239.381207,-189.922404,135.0,top
R36,214.143925,-204.264419,105.0,top
R37,210.31,-192.065,270.0,top
R38,229.05,-76.82,132.5,top
R39,240.464202,-67.646728,327.5,top
R4,158.27972,-185.999486,221.25,top
R41,233.41,-66.92,237.5,top
R42,217.13,-80.2,207.5,top
R43,209.720204,-86.8043,110.0,top
R44,190.39,-86.8,70.0,top
R45,231.77,-69.47,57.5,top
R46,214.148216,-81.770943,27.5,top
R49,194.445,-200.25,0.0,top
R5,151.308948,-175.543739,210.0,top
R50,191.29,-199.0125,270.0,top
R51,197.749474,-207.558555,352.5,top
R52,187.599474,-205.158555,262.5,top
R53,169.172683,-198.69612,322.5,top
R54,161.652683,-191.50112,232.5,top
R55,148.943353,-176.791239,292.5,top
R56,145.841152,-166.696953,202.5,top
R58,234.475798,-74.653272,327.5,top
R59,222.58,-84.61,297.5,top
R6,145.869443,-160.316297,191.25,top
R60,213.7,-87.46,297.5,top
R61,142.333761,-147.807416,262.5,top
R62,144.801445,-137.434474,172.5,top
R63,151.16388,-119.172683,232.5,top
R64,158.399363,-111.500455,142.5,top
R65,172.93656,-98.979067,202.5,top
R66,183.218761,-96.038353,112.5,top
R67,202.012584,-92.213761,172.5,top
R68,212.582842,-94.969387,82.5,top
R69,230.707317,-101.11388,142.5,top
R7,145.026511,-147.759474,180.0,top
R70,238.507317,-108.49888,52.5,top
R71,251.032361,-123.100962,112.5,top
R72,254.076647,-133.273761,22.5,top
R73,256.722359,-151.899901,82.5,top
R74,254.28,-162.18,352.5,top
R75,248.968348,-180.6228,52.5,top
R76,241.501603,-188.445089,322.5,top
R77,227.109038,-200.992361,22.5,top
R78,216.695525,-204.044446,292.5,top
R79,169.39034,-75.939923,220.0,top
R8,147.963424,-131.868864,161.25,top
R83,180.17,-79.61,62.5,top
R84,187.48,-85.0,62.5,top
R86,165.51,-75.6,302.5,top
R88,183.118216,-80.469057,332.5,top
R89,160.764202,-66.943272,212.5,top
R9,153.368417,-120.575183,150.0,top
R90,185.848216,-81.9,152.5,top
R91,168.03,-69.21,122.5,top
R92,166.386728,-66.614202,302.5,top
U1,181.0175,-191.47,270.0,top
U10,250.943967,-129.178489,202.5,top
U11,253.605653,-157.05731,172.5,top
U12,243.503973,-183.707957,142.5,top
U13,220.821577,-200.943901,112.5,top
U14,235.705672,-70.062943,147.5,top
U15,217.225526,-84.243258,117.5,top
U16,182.784018,-84.243258,242.5,top
U17,164.303872,-70.062943,32.5,top
U2,192.560073,-204.529467,82.5,top
U3,166.292109,-193.503907,52.5,top
U4,149.056165,-170.821511,22.5,top
U5,145.470599,-142.560007,352.5,top
U6,156.496159,-116.292043,322.5,top
U7,179.178555,-99.056099,292.5,top
U8,207.440059,-95.470533,262.5,top
U9,233.708023,-106.496093,232.5,top
XTAL1,178.24,-203.15,180.0,top
