Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,XDCR_KXG0909P,1,Buzzer,
"C1, C11, C12, C3, C4, C5, C6, C8, C9",0603,9,0.1u,C1581
C10,CP_Radial_D5.0mm_P2.00mm,1,47u,C3337
C2,0603,1,0.1,C1581
C7,C_Disc_D5.1mm_W3.2mm_P5.00mm,1,10u, C1713
D1,0603,1,GREEN,
"D2, D4, D5, D6, D7, D8",0603,6,RED,
D3,D_SOD-123F,1,D,
FFC1,TE_84952-6_1x06-1MP_P1.0mm_Horizontal,1,Conn_01x06_Socket,
J1,NELTRON_5077CR-16SMC2-BK-TR,1,TYPE-C_Line,
J2,NELTRON_5077CR-16SMC2-BK-TR,1,TYPE-C_ESP32,
J3,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02_Socket,
J4,PinSocket_1x04_P2.54mm_Vertical,1,Conn_01x04_Socket,
J5,JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,1,Conn_01x04_Socket,
NEOPIX1,SOT-23,1,BSS138, C192057
R1,1206,1,10k,C26033
"R10, R5",1206,2,110,C17909
"R11, R4, R6, R9",0603,4,5.1k,C26033
R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,1k,
R3,1206,1,56,C17909
"R7, R8",1206,2,10k, C1489
"SW1, SW2, SW3",Switch_SKRPABE010,3,SW_Push,
"TACT_1, TACT_2, TACT_3",SW_PUSH-12mm,3,SW_Push,
TOGGLE_1,PinSocket_1x03_P2.54mm_Vertical,1,SW_SPDT,
U1,ESP32-WROOM-32,1,ESP32-WROOM-32,
U2,SSOP-10-1EP_3.9x4.9mm_P1mm_EP2.1x3.3mm,1,CH340K,
U3,UMT6,1,UMH3N,
U4,TO-252-2,1,BD50FC0FP,
U5,MSOP-10_3x3mm_P0.5mm,1,CH340E,
