Designator,Mid X,Mid Y,Rotation,Layer
BZ1,181.0642,-84.6998,0.0,top
C1,126.2,-83.7,90.0,top
C10,128.009513,-97.7648,180.0,top
C11,169.35,-114.0375,90.0,bottom
C12,165.1875,-118.7,0.0,bottom
C2,158.1375,-80.6,180.0,top
C3,130.48,-77.36,270.0,bottom
C4,126.2,-87.9625,270.0,top
C5,129.8,-116.2625,90.0,bottom
C6,133.7125,-110.8,0.0,bottom
C7,142.4816,-97.9426,0.0,top
C8,136.8428,-96.7996,270.0,top
C9,134.8,-96.8,270.0,top
D1,177.7962,-92.6672,180.0,top
D2,181.9346,-92.6672,0.0,top
D3,143.2022,-89.1542,270.0,bottom
D4,181.9346,-94.9262,0.0,top
D5,181.9346,-99.4,0.0,top
D6,177.7962,-94.9262,180.0,top
D7,177.7962,-97.2,180.0,top
D8,181.9346,-97.2,0.0,top
FFC1,173.3,-79.75,180.0,bottom
J1,155.54,-118.02,0.0,top
J2,144.5,-118.02,0.0,top
J3,150.6296,-78.0544,0.0,bottom
J4,161.01,-77.205,90.0,top
J5,163.25,-97.1,180.0,bottom
NEOPIX1,149.0094,-85.5728,0.0,bottom
R1,127.75,-113.38,0.0,bottom
R10,173.5125,-99.4,0.0,bottom
R11,158.2375,-119.75,180.0,bottom
R2,177.6098,-108.8646,90.0,top
R3,186.2685,-91.4928,0.0,bottom
R4,142.3275,-119.7,0.0,bottom
R5,181.0468,-91.505,180.0,bottom
R6,147.19,-119.7,180.0,bottom
R7,153.5159,-84.4298,0.0,bottom
R8,153.5199,-86.8126,0.0,bottom
R9,153.3375,-119.7,0.0,bottom
SW1,123.725,-82.2,270.0,top
SW2,123.8,-89.459,270.0,top
SW3,186.4,-107.7,90.0,top
TACT_1,132.99,-108.51,0.0,top
TACT_2,150.04,-108.51,0.0,top
TACT_3,166.93,-108.51,0.0,top
TOGGLE_1,181.4706,-107.0866,0.0,top
U1,136.84,-83.91,0.0,top
U2,135.5,-115.9,270.0,bottom
U3,126.4,-116.42,180.0,bottom
U4,134.685,-88.305,0.0,bottom
U5,165.2875,-116.1,90.0,bottom
