Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_Radial_D6.3mm_H5.0mm_P2.50mm,1,100u,
"C10, C11",0603,2,0.1u,C1581
C12,CP_Radial_D5.0mm_P2.00mm,1,47u,C3337
C2,C_Radial_D10.0mm_H12.5mm_P5.00mm,1,1000u,
"C3, C4, C5, C8",0603,4,0.1,
C9,0805,1,10u, C1713
"D1, D2",D_SOD-123F,2,D,
D3,0603,1,RED,
D5,0603,1,GREEN,
F1,Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal,1,Fuse,
J1,NELTRON_5077CR-16SMC2-BK-TR,1,TYPE-C_ESP32,
L1,L_Sunlord_MWSA1204S-1R0,1,100u,
"LINE_1, MAIN_PSU1, MAIN_UART1, UI_1",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,4,Conn_01x02_Socket,
LIPO_1,AMASS_XT30U-M_1x02_P5.0mm_Vertical,1,XT30_IN,
MDR_1,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,Conn_01x03_Socket,
OLED_1,PinSocket_1x02_P2.54mm_Vertical,1,Conn_01x02_Socket,
Q1,TO-252-2,1,PMOS,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,10k,
R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,10k,C1489
R3,0603,1,4.7k,C26033
R4,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,3.3k,C26033
R5,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,10k,C26033
"R6, R9",0603,2,5.1k,C26033
R7,1206,1,110,C17909
R8,1206,1,56,C17909
SBD1,D_A-405_P10.16mm_Horizontal,1,D,
SBD2,D_A-405_P10.16mm_Horizontal,1,SBD,
SW1,PinSocket_1x02_P2.54mm_Vertical,1,SW_SPST,
SW2,Switch_SKRPABE010,1,SW_Push,
U1,TO-263-5_TabPin6,1,LM2576SX-5.0_NOPB,
U2,MSOP-10_3x3mm_P0.5mm,1,CH340E,
U3,TO-252-2,1,LDO_3v3,
U4,SOIC-14_3.9x8.7mm_P1.27mm,1,ATtiny814-SS,
