Designator,Mid X,Mid Y,Rotation,Layer
C1,118.64,-103.1,0.0,top
C10,132.1775,-113.99,180.0,bottom
C11,127.42,-107.24,0.0,bottom
C12,125.19,-103.08,0.0,top
C2,121.15,-93.57,0.0,top
C3,131.83,-106.33,180.0,bottom
C4,147.46,-118.1375,90.0,bottom
C5,152.53,-118.1425,90.0,bottom
C8,141.62,-104.1925,90.0,bottom
C9,131.89,-110.92,90.0,bottom
D1,178.25,-102.1125,180.0,bottom
D2,128.35,-111.96,0.0,bottom
D3,151.745,-109.99,0.0,top
D5,148.255,-109.99,180.0,top
F1,169.250000280031,-114.17000165168164,191.25,top
J1,150.0,-114.1,0.0,top
L1,148.13,-94.02,180.0,top
LINE_1,163.88,-83.03,0.0,top
LIPO_1,174.65,-83.1,0.0,top
MAIN_PSU1,145.98,-83.055,0.0,top
MAIN_UART1,137.07,-83.055,0.0,top
MDR_1,126.88,-83.045,0.0,top
OLED_1,113.51497,-98.612582,0.0,top
Q1,183.39,-102.1325,0.0,top
R1,182.5,-96.45,180.0,top
R2,158.75,-106.14,270.0,top
R3,140.08,-114.81,270.0,bottom
R4,148.49,-102.67,0.0,top
R5,148.46,-105.84,180.0,top
R6,146.5,-111.02,0.0,bottom
R7,153.2325,-108.71,0.0,bottom
R8,147.2775,-108.7,0.0,bottom
R9,153.3375,-111.0,180.0,bottom
SBD1,158.75,-93.47,90.0,top
SBD2,142.46,-113.93,270.0,bottom
SW1,177.225,-91.57,0.0,top
SW2,142.575,-113.985,90.0,top
U1,133.915,-94.475,90.0,top
U2,149.995,-117.47,180.0,bottom
U3,124.065,-111.875,180.0,top
U4,135.63,-112.71,270.0,top
UI_1,154.94,-83.045,0.0,top
