Designator,Footprint,Quantity,Value,LCSC Part #
"32U4_1, 32U4_2",SOT-23,2,BSS138, C192057
"BNO_1, NONE_1",PinSocket_1x04_P2.54mm_Vertical,2,Conn_01x04_Socket,
C1,C_Disc_D5.1mm_W3.2mm_P5.00mm,1,10,
"C10, C4, C5",CP_Radial_D5.0mm_P2.00mm,3,100,
C2,C_Disc_D5.0mm_W2.5mm_P2.50mm,1,0.1,
C6,C_Disc_D5.1mm_W3.2mm_P5.00mm,1,10u, C1713
"C7, C8",C_Disc_D5.0mm_W2.5mm_P2.50mm,2,0.1u,C1581
C9,CP_Radial_D5.0mm_P2.00mm,1,47u,C3337
"CAM_1, CAM_2, CAM_3",JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,3,Conn_01x04_Socket,
"CATCH_LED1, CATCH_LED2, LINE_1, VIN_1",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,4,Conn_01x02_Socket,
"CATCH_PHOTO1, KICK_1",JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,2,Conn_01x03_Socket,
D1,D_SOD-123F,1,D,
"J1, J2",PinSocket_1x24_P2.54mm_Vertical,2,Conn_01x24_Socket,
J3,PinSocket_1x02_P2.54mm_Vertical,1,Conn_01x02_Socket,
J4,PinHeader_2x02_P2.54mm_Vertical,1,Conn_02x02_Odd_Even,
J5,PinSocket_2x03_P2.54mm_Vertical,1,Conn_02x03_Odd_Even,
MOTOR_1,TE_84952-6_1x06-1MP_P1.0mm_Horizontal,1,Conn_01x06_Socket,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,3.3k,
R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,3.3k,C22978
"R3, R4, R5, R6",1206,4,10k, C1489
U1,TO-252-2,1,BD50FC0FP,
