Designator,Mid X,Mid Y,Rotation,Layer
32U4_1,152.73,-115.4525,90.0,top
32U4_2,147.6975,-115.51,90.0,top
BNO_1,130.58,-106.65,180.0,top
C1,143.8,-133.9,90.0,top
C10,114.9,-116.0,90.0,top
C2,140.28,-132.99,90.0,top
C4,184.65,-113.704888,270.0,top
C5,185.65,-87.124888,270.0,top
C6,175.39,-131.54,0.0,top
C7,174.18,-128.1,0.0,top
C8,162.68,-126.44,90.0,top
C9,161.274888,-133.85,0.0,top
CAM_1,177.76,-93.07,90.0,top
CAM_2,177.77,-106.92,90.0,top
CAM_3,121.95,-119.225,270.0,top
CATCH_LED1,155.51,-59.235,0.0,bottom
CATCH_LED2,126.95,-136.375,0.0,bottom
CATCH_PHOTO1,145.73,-59.235,0.0,bottom
D1,167.775112,-126.55,270.0,bottom
J1,142.49,-99.040793,180.0,top
J2,157.73,-99.040793,180.0,top
J3,150.02,-132.975,90.0,top
J4,131.124907,-80.409146,0.0,top
J5,167.04,-119.33,270.0,top
KICK_1,170.24,-69.21,180.0,top
LINE_1,150.0,-100.275,0.0,bottom
MOTOR_1,167.28,-100.0,90.0,bottom
NONE_1,122.961,-106.65,180.0,top
R1,134.14,-110.41,270.0,top
R2,134.12,-97.74,90.0,top
R3,152.765,-111.97,180.0,top
R4,152.725,-118.8,0.0,top
R5,147.6175,-111.96,180.0,top
R6,147.6525,-118.8,180.0,top
U1,167.84,-131.28,270.0,top
VIN_1,177.15,-120.35,180.0,bottom
