Designator,Mid X,Mid Y,Rotation,Layer
32U4_1,151.48,-115.4225,90.0,top
32U4_2,146.4475,-115.48,90.0,top
BNO_1,130.58,-106.65,180.0,top
C1,146.33,-133.78,90.0,top
C2,142.81,-132.87,90.0,top
C4,191.65,-116.704888,270.0,top
C5,191.65,-83.124888,270.0,top
C6,175.39,-131.54,0.0,top
C7,174.6,-127.72,0.0,top
C8,162.68,-126.44,90.0,top
C9,161.27,-132.16,0.0,top
CAM_1,191.76,-93.07,90.0,top
CAM_2,191.77,-106.92,90.0,top
CATCH_LED1,155.51,-59.235,0.0,bottom
CATCH_PHOTO1,145.73,-59.235,0.0,bottom
D1,167.775112,-126.55,270.0,bottom
J1,141.24,-99.010793,180.0,top
J2,156.48,-99.010793,180.0,top
J3,148.94,-124.645,0.0,top
J4,131.124907,-80.409146,0.0,top
J5,167.04,-119.33,270.0,top
KICK_1,170.24,-69.21,180.0,top
LINE_1,148.75,-100.245,0.0,bottom
MOTOR_1,167.28,-100.0,90.0,bottom
MULTIPLEX_1,125.36,-67.55,0.0,bottom
NONE_1,122.961,-106.65,180.0,top
R1,134.14,-110.41,270.0,top
R2,134.12,-97.74,90.0,top
R3,151.515,-111.94,180.0,top
R4,151.475,-118.77,0.0,top
R5,146.3675,-111.93,180.0,top
R6,146.4025,-118.77,180.0,top
U1,167.84,-131.28,270.0,top
VIN_1,179.38,-112.47,180.0,bottom
