Designator,Mid X,Mid Y,Rotation,Layer
D1,256.064433,-64.348485,345.0,bottom
D10,257.996708,-88.6206,277.5,top
D11,258.81892,-127.4366,15.0,bottom
D12,258.029655,-111.901617,82.5,top
D13,257.543761,-115.279583,262.5,top
D14,256.064433,-136.172715,20.0,bottom
D15,254.450967,-128.772003,72.5,top
D16,253.436708,-131.9606,72.5,top
D18,237.396708,-100.2606,270.0,bottom
D19,247.396708,-100.2606,270.0,bottom
D2,258.81892,-73.0846,345.0,bottom
D20,257.396708,-100.2606,90.0,bottom
D3,260.801522,-82.027541,350.0,bottom
D4,261.997151,-91.109247,355.0,bottom
D5,261.997151,-109.411953,5.0,bottom
D6,253.33819,-67.953406,107.5,top
D7,254.386708,-71.1906,287.5,top
D8,260.801522,-118.493659,10.0,bottom
D9,257.563761,-85.301617,97.5,top
J1,265.272498,-100.260672,0.0,top
LED_1,257.536988,-68.686491,342.5,bottom
LED_10,252.419208,-100.2606,90.0,bottom
LED_11,242.419208,-100.2606,90.0,bottom
LED_12,232.419208,-100.2606,90.0,bottom
LED_2,259.907789,-77.534441,347.5,bottom
LED_3,261.498418,-86.55535,352.5,bottom
LED_4,262.296771,-95.680564,357.5,bottom
LED_5,257.536988,-131.834709,17.5,bottom
LED_6,259.907789,-122.986759,12.5,bottom
LED_7,261.498418,-113.96585,7.5,bottom
LED_8,262.296771,-104.840636,2.5,bottom
LED_9,262.396708,-100.2606,90.0,bottom
R1,255.588185,-75.667933,105.0,top
R10,258.243524,-63.722518,197.5,top
R11,265.359024,-112.818542,262.5,top
R12,262.144847,-107.198697,85.0,top
R13,235.151708,-101.0006,90.0,top
R15,260.434242,-120.64734,170.0,top
R17,262.06479,-72.817416,287.5,top
R18,264.969024,-116.078542,82.5,top
R19,235.021708,-97.8306,180.0,top
R2,256.329819,-62.104126,195.0,top
R20,259.369819,-125.277074,165.0,top
R21,245.406708,-97.2656,90.0,top
R23,264.959024,-84.432658,277.5,top
R24,260.693524,-128.032518,162.5,top
R25,256.286708,-138.6106,160.0,top
R26,255.396708,-103.3656,270.0,top
R27,265.431708,-87.9206,97.5,top
R28,258.033524,-136.902518,342.5,top
R29,239.446708,-103.8506,0.0,top
R3,258.596708,-93.0606,95.0,top
R30,248.671708,-96.7506,0.0,top
R31,251.961708,-96.7706,180.0,top
R4,259.426708,-75.1606,197.5,top
R5,255.496708,-124.8806,255.0,top
R6,260.414242,-79.76386,190.0,top
R7,258.694173,-107.383665,265.0,top
R8,262.01,-93.52,275.0,top
R9,257.966708,-100.2606,90.0,top
U1,257.536988,-68.686491,197.5,top
U2,261.498418,-113.96585,172.5,top
U3,261.498418,-86.55535,187.5,top
U4,257.536988,-131.834709,162.5,top
U5,240.396708,-100.2606,90.0,top
U6,250.396708,-100.2606,270.0,top
