Designator,Footprint,Quantity,Value,LCSC Part #
"A1, A10, A11, A12, A13, A14, A15, A16, A17, A18, A19, A2, A20, A21, A22, A23, A24, A3, A4, A5, A6, A7, A8, A9",XDCR_TSSP4038,24,TSSP4038,
"C1, C16, C4",0402,3,4.7,
"C10, C13",0402,2,15p,C1548
"C11, C12, C14, C15, C2, C5, C6, C7, C8, C9",0402,10,0.1,
C17,CP_Elec_6.3x5.7,1,150,C249851
C3,0402,1,4.7,C1872
D1,0603,1,BLUE,
D2,0603,1,GREEN,
"J1, J2, J3",PinHeader_2x02_P2.54mm_Vertical,3,Conn_02x02_Counter_Clockwise,
L1,Inductor_0806_2016,1,3.3,C42411119
R1,0402,1,15,C22369173
R2,0402,1,30,C22356186
R3,0402,1,1k,C174178
R4,0603,1,33,C177281
R6,0402,1,22,C174144
R7,0402,1,22,
U1,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,
U2,Package_QFN-60-1EP_7x7mm_P0.4mm_EP3.4x3.4mm_hand,1,RP2350_60QFN,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,C20625731
