Designator,Mid X,Mid Y,Rotation,Layer
A1,200.0,-218.0,0.0,top
A10,151.916739,-101.916739,225.0,top
A11,166.0,-91.110273,210.0,top
A12,182.400305,-84.317044,195.0,top
A13,200.0,-82.0,180.0,top
A14,217.599695,-84.317044,165.0,top
A15,234.0,-91.110273,150.0,top
A16,248.083261,-101.916739,135.0,top
A17,258.889727,-116.0,120.0,top
A18,265.682956,-132.400305,105.0,top
A19,268.0,-150.0,90.0,top
A2,182.400305,-215.682956,345.0,top
A20,265.682956,-167.599695,75.0,top
A21,258.889727,-184.0,60.0,top
A22,248.083261,-198.083261,45.0,top
A23,234.0,-208.889727,30.0,top
A24,217.599695,-215.682956,15.0,top
A3,166.0,-208.889727,330.0,top
A4,151.916739,-198.083261,315.0,top
A5,141.110273,-184.0,300.0,top
A6,134.317044,-167.599695,285.0,top
A7,132.0,-150.0,270.0,top
A8,134.317044,-132.400305,255.0,top
A9,141.110273,-116.0,240.0,top
C1,206.54,-102.65,270.0,top
C10,191.83,-98.42,270.0,top
C11,203.95,-108.05,0.0,top
C12,203.56,-106.56,270.0,top
C13,191.84,-100.28,90.0,top
C14,193.64,-98.05,90.0,top
C15,194.67,-103.45,180.0,top
C16,205.54,-102.66,270.0,top
C17,215.43,-97.05,270.0,top
C2,201.39,-93.46,90.0,top
C3,206.54,-104.79,270.0,top
C4,193.91,-100.35,180.0,top
C5,201.18,-107.37,0.0,top
C6,208.37,-100.56,0.0,top
C7,211.22,-97.5,90.0,top
C8,203.13,-94.53,90.0,top
C9,198.05,-93.74,180.0,top
D1,205.0,-108.69,0.0,bottom
D2,195.0,-108.69,180.0,bottom
J1,223.726373,-92.719469,90.0,top
J2,259.030111,-149.996862,270.0,top
J3,176.273627,-92.719469,270.0,top
L1,208.08,-103.46,270.0,top
R1,200.12,-109.01,0.0,top
R2,198.18,-107.46,180.0,top
R3,211.2,-91.3,90.0,top
R4,205.23,-105.37,90.0,top
R6,210.57,-102.89,270.0,top
R7,209.55,-102.87,270.0,top
U1,207.815,-94.38,180.0,top
U2,200.0,-100.0,270.0,top
Y1,189.59,-99.35,270.0,top
