Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C7",Capacitor_0402_1005,2,0.1,
"C10, C11, C3, C4, C9",CP_Elec_5x5.4,5,22,
C12,CP_Elec_4x5.4,1,10,
C13,CP_Elec_5x5.7,1,2.7,C487141
C2,CP_Elec_5x5.4,1,22,C2887274
C5,CP_Elec_4x5.4,1,10,C2992602
C6,CP_Elec_5x5.7,1,2.7,
C8,0603,1,0.1,
D1,D_SOD-123F,1,D,
F1,Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal,1,Fuse,
J1,PinSocket_1x02_P2.54mm_Vertical,1,oled,
J2,AMASS_XT30U-M_1x02_P5.0mm_Vertical,1,md,
J3,JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal,1,Conn_01x03_Socket,
J4,JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,1,md_logic,
J5,JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,1,line,
J6,JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,1,kick,
L1,L_Bourns_SRP7028A_7.3x6.6mm,1,3.3,
L2,IND_ETQP5M4R7YFM,1,4.7,
LIPO_1,AMASS_XT30U-M_1x02_P5.0mm_Vertical,1,XT30_IN,
Q1,TO-252-2,1,PMOS,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,10k,
R10,0805,1,200k,
R11,0805,1,22.1k,C17552
R2,0805,1,69.8k,C17803
R3,0402,1,10.5k,C25850
R4,0805,1,200k,C17539
R5,0805,1,22.1k,
R6,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,10k,C26033
R7,0603,1,150k,C177617
R8,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,3.3k,C26033
R9,0805,1,22k,
RV1,Potentiometer_Bourns_3314J_Vertical,1,50k,
SW,Rocker_SW,1,rocker_SW,
SW1,PinSocket_1x02_P2.54mm_Vertical,1,SW_SPST,
U1,SO-8EP_DIO,1,AP64500SP-3.3v,
U2,SO-8EP_DIO,1,AP64500SP-7v,
