Designator,Footprint,Quantity,Value,LCSC Part #
D1,D_SOD-323_HandSoldering,1,SBD,
D2,D_SOD-123F,1,D,
D4,D_A-405_P10.16mm_Horizontal,1,D,
"J1, SOLE1",JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,2,Conn_01x02_Socket,
"J10, J11, J7, J8",PinSocket_1x01_P2.54mm_Vertical,4,Conn_01x01_Socket,
"J2, J3",PinSocket_1x02_P2.54mm_Vertical,2,Conn_01x02_Socket,
K1,SMDIP-8_W7.62mm,1,AQW212EHA,
LED_D1,0603,1,LED,
MAIN_1,JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal,1,Conn_01x03_Socket,
Q1,TO-252-2,1,PMOS,
Q2,TO-220-3_Horizontal_TabDown,1,NMOS,
R1,1206,1,1.6k,C4908
R10,1206,1,68,
R11,1206,1,10k,
R2,1206,1,1.6k,C102100 
R4,2512,1,1k,C31884
R5,2512,1,3.3k,C1469
R6,2512,1,150,C25471
R9,2512,1,3k,C2934109
