Designator,Mid X,Mid Y,Rotation,Layer
D1,171.09,-51.9,90.0,top
D2,142.98,-74.33,180.0,bottom
D4,146.59,-54.48,180.0,bottom
J1,138.25,-49.88,180.0,bottom
J10,167.708064,-49.326694,270.0,top
J11,167.708064,-67.081694,270.0,top
J2,119.52732,-66.845036,270.0,top
J3,175.09,-66.86,90.0,top
J7,127.093064,-49.301694,270.0,top
J8,127.093064,-67.081694,270.0,top
K1,155.99,-74.83,270.0,top
LED_D1,121.485,-55.1,180.0,top
MAIN_1,156.330564,-49.814194,180.0,bottom
Q1,139.2975,-74.37,180.0,top
Q2,147.155,-85.86,90.0,top
R1,162.8975,-67.56,0.0,bottom
R10,158.58,-83.4175,270.0,bottom
R11,158.55,-88.1475,90.0,bottom
R2,157.8775,-67.54,0.0,bottom
R4,147.2575,-74.36,270.0,bottom
R5,145.4,-80.44,0.0,bottom
R6,140.15,-68.51,180.0,bottom
R9,121.4625,-55.1,0.0,bottom
SOLE1,146.650564,-49.814194,180.0,bottom
