Designator,Mid X,Mid Y,Rotation,Layer
C1,140.06,-129.62,90.0,top
C10,137.68,-129.86,90.0,top
C11,147.22,-134.78,0.0,top
C12,147.25,-137.99,0.0,top
C13,147.01,-145.52,0.0,top
C14,149.76,-144.69,0.0,top
C15,140.17,-144.6,270.0,top
C16,130.4,-136.25,270.0,top
C17,130.4,-138.1,270.0,top
C18,153.22,-139.07,180.0,top
C19,174.13,-136.21,0.0,top
C2,146.43,-141.28,270.0,top
C20,129.97,-126.235,270.0,top
C3,131.86,-138.0,180.0,top
C4,144.89,-143.63,0.0,top
C5,142.62,-129.77,90.0,top
C6,139.66,-146.02,0.0,top
C7,134.45,-143.64,180.0,top
C8,132.18,-136.38,180.0,top
C9,133.1,-132.55,90.0,top
D1,150.0,-45.0,90.0,bottom
D10,203.94319,-110.729968,191.25,bottom
D11,200.813374,-121.047589,202.5,bottom
D12,195.730829,-130.556363,213.75,bottom
D13,188.890873,-138.890873,225.0,bottom
D14,180.556363,-145.730829,236.25,bottom
D15,171.047589,-150.813374,247.5,bottom
D16,160.729968,-153.94319,258.75,bottom
D17,150.0,-155.0,270.0,bottom
D18,139.270032,-153.94319,281.25,bottom
D19,128.952411,-150.813374,292.5,bottom
D2,160.729968,-46.05681,101.25,bottom
D20,119.443637,-145.730829,303.75,bottom
D21,111.109127,-138.890873,315.0,bottom
D22,104.269171,-130.556363,326.25,bottom
D23,99.186626,-121.047589,337.5,bottom
D24,96.05681,-110.729968,348.75,bottom
D25,95.0,-100.0,0.0,bottom
D26,96.05681,-89.270032,11.25,bottom
D27,99.186626,-78.952411,22.5,bottom
D28,104.269171,-69.443637,33.75,bottom
D29,111.109127,-61.109127,45.0,bottom
D3,171.047589,-49.186626,112.5,bottom
D30,119.443637,-54.269171,56.25,bottom
D31,128.952411,-49.186626,67.5,bottom
D32,139.270032,-46.05681,78.75,bottom
D33,137.455,-124.275,0.0,top
D34,134.08,-124.26,180.0,top
D35,239.0,-100.0,90.0,bottom
D36,230.0,-100.0,90.0,bottom
D37,221.0,-100.0,90.0,bottom
D38,212.0,-99.9775,90.0,bottom
D4,180.556363,-54.269171,123.75,bottom
D41,61.0,-100.0,90.0,bottom
D42,70.0,-99.9775,90.0,bottom
D43,79.0,-99.9775,90.0,bottom
D44,88.0,-100.0,90.0,bottom
D47,150.0,-189.0,180.0,bottom
D48,150.0225,-180.0,180.0,bottom
D49,150.0225,-171.0,180.0,bottom
D5,188.890873,-61.109127,135.0,bottom
D50,150.0225,-162.0,180.0,bottom
D53,232.86,-97.21,180.0,top
D54,63.92,-97.14,180.0,top
D55,152.87,-182.92,90.0,top
D56,236.08,-97.21,0.0,top
D57,67.13,-97.14,0.0,top
D58,152.87,-186.12,270.0,top
D59,214.92,-97.21,180.0,top
D6,195.730829,-69.443637,146.25,bottom
D60,81.97,-97.14,180.0,top
D61,152.87,-164.86,90.0,top
D62,218.13,-97.21,0.0,top
D63,85.17,-97.14,0.0,top
D64,152.87,-168.08,270.0,top
D7,200.813374,-78.952411,157.5,bottom
D8,203.94319,-89.270032,168.75,bottom
D9,205.0,-100.0,180.0,bottom
J1,123.31,-128.75,180.0,top
L1,147.79,-141.96,270.0,top
LED_1,155.390943,-45.26484,95.625,bottom
LED_10,202.631718,-115.965657,196.875,bottom
LED_11,198.50567,-125.926821,208.125,bottom
LED_12,192.515575,-134.891631,219.375,bottom
LED_13,184.891631,-142.515575,230.625,bottom
LED_14,175.926821,-148.50567,241.875,bottom
LED_15,165.965657,-152.631718,253.125,bottom
LED_16,155.390943,-154.73516,264.375,bottom
LED_17,144.609057,-154.73516,275.625,bottom
LED_18,134.034343,-152.631718,286.875,bottom
LED_19,124.073179,-148.50567,298.125,bottom
LED_2,165.965657,-47.368282,106.875,bottom
LED_20,115.108369,-142.515575,309.375,bottom
LED_21,107.484425,-134.891631,320.625,bottom
LED_22,101.49433,-125.926821,331.875,bottom
LED_23,97.368282,-115.965657,343.125,bottom
LED_24,95.26484,-105.390943,354.375,bottom
LED_25,95.26484,-94.609057,5.625,bottom
LED_26,97.368282,-84.034343,16.875,bottom
LED_27,101.49433,-74.073179,28.125,bottom
LED_28,107.484425,-65.108369,39.375,bottom
LED_29,115.108369,-57.484425,50.625,bottom
LED_3,175.926821,-51.49433,118.125,bottom
LED_30,124.073179,-51.49433,61.875,bottom
LED_31,134.034343,-47.368282,73.125,bottom
LED_32,144.609057,-45.26484,84.375,bottom
LED_33,216.5,-100.0,90.0,bottom
LED_34,225.5,-100.0,90.0,bottom
LED_35,234.5,-100.0,90.0,bottom
LED_36,243.5,-100.0,90.0,bottom
LED_39,83.5,-100.0,90.0,bottom
LED_4,184.891631,-57.484425,129.375,bottom
LED_40,74.5,-100.0,90.0,bottom
LED_41,65.5,-100.0,90.0,bottom
LED_42,56.5,-100.0,90.0,bottom
LED_45,150.0,-193.5,180.0,bottom
LED_46,150.0225,-184.5,180.0,bottom
LED_47,150.0,-175.5,180.0,bottom
LED_48,150.0225,-166.5,180.0,bottom
LED_5,192.515575,-65.108369,140.625,bottom
LED_6,198.50567,-74.073179,151.875,bottom
LED_7,202.631718,-84.034343,163.125,bottom
LED_8,204.73516,-94.609057,174.375,bottom
LED_9,204.73516,-105.390943,185.625,bottom
LINE1,166.47,-125.245,180.0,top
LINE_1,179.26,-128.66,180.0,top
Q1,116.81,-125.31,270.0,top
R1,150.0,-48.0,270.0,top
R10,201.000835,-110.144697,168.75,top
R100,78.98,-103.07,270.0,top
R101,88.0,-103.07,270.0,top
R104,146.98,-189.01,180.0,top
R105,146.95,-180.01,180.0,top
R106,146.95,-171.0,180.0,top
R107,146.95,-162.0,180.0,top
R11,198.041736,-119.899538,157.5,top
R110,230.0,-96.925,90.0,top
R111,61.0,-97.01,90.0,top
R112,153.06,-180.0,0.0,top
R113,239.0,-96.925,90.0,top
R114,69.99,-97.01,90.0,top
R115,153.06,-189.0,0.0,top
R116,211.99,-96.925,90.0,top
R117,78.99,-97.01,90.0,top
R118,153.06,-162.01,0.0,top
R119,221.01,-96.925,90.0,top
R12,193.23642,-128.889652,146.25,top
R120,88.0,-97.01,90.0,top
R121,153.06,-171.0,0.0,top
R128,225.49,-96.82,270.0,top
R129,243.5,-96.835,270.0,top
R13,186.769553,-136.769553,135.0,top
R131,74.49,-97.01,270.0,top
R132,56.48,-97.01,270.0,top
R134,153.06,-193.51,180.0,top
R135,153.06,-175.51,180.0,top
R14,178.889652,-143.23642,123.75,top
R15,169.899538,-148.041736,112.5,top
R16,160.144697,-151.000835,101.25,top
R17,150.0,-152.0,90.0,top
R18,139.855303,-151.000835,78.75,top
R19,130.100462,-148.041736,67.5,top
R2,160.144697,-48.999165,258.75,top
R20,121.110348,-143.23642,56.25,top
R21,113.230447,-136.769553,45.0,top
R22,106.76358,-128.889652,33.75,top
R23,101.958264,-119.899538,22.5,top
R24,98.999165,-110.144697,11.25,top
R25,98.0,-100.0,0.0,top
R26,98.999165,-89.855303,348.75,top
R27,101.958264,-80.100462,337.5,top
R28,106.76358,-71.110348,326.25,top
R29,113.230447,-63.230447,315.0,top
R3,169.899538,-51.958264,247.5,top
R30,121.110348,-56.76358,303.75,top
R31,130.100462,-51.958264,292.5,top
R32,139.855303,-48.999165,281.25,top
R33,156.542315,-48.907396,354.375,top
R34,153.601288,-48.620668,174.375,top
R35,175.577585,-55.25,331.875,top
R36,172.95,-53.811098,151.875,top
R37,190.851626,-68.512266,309.375,top
R38,188.976626,-66.212266,129.375,top
R39,199.79603,-86.531048,286.875,top
R4,178.889652,-56.76358,236.25,top
R40,198.910515,-83.710524,106.875,top
R41,201.169136,-106.521027,264.375,top
R42,201.475,-103.54,84.375,top
R43,194.813902,-125.482415,241.875,top
R44,196.238902,-122.872415,61.875,top
R45,181.662266,-140.723374,219.375,top
