Designator,Mid X,Mid Y,Rotation,Layer
BNO_1,122.07,-58.66,0.0,bottom
C1,120.03,-137.5475,90.0,bottom
C12,178.8075,-144.1,0.0,top
C13,100.8,-66.8,270.0,top
C14,108.2685,-57.13,180.0,top
C15,108.2385,-54.45,180.0,top
C16,184.39,-63.24,90.0,top
C17,108.775,-80.9,90.0,bottom
C18,147.63,-123.43,0.0,bottom
C19,119.4,-80.9,90.0,bottom
C2,116.1775,-138.89,0.0,bottom
C20,129.925,-80.95,90.0,bottom
C21,217.147875,-124.22771,157.5,top
C22,207.645733,-138.254943,322.5,top
C23,192.6133,-155.534734,127.5,top
C24,176.78784,-164.671567,112.5,top
C25,159.136833,-169.40114,97.5,top
C26,140.863167,-169.40114,82.5,top
C27,123.21216,-164.671567,67.5,top
C28,107.3867,-155.534734,52.5,top
C29,92.754943,-135.385733,210.0,top
C3,196.032323,-104.4,180.0,bottom
C30,91.993053,-134.05125,210.0,top
C31,91.233053,-132.72125,210.0,top
C32,80.59886,-90.863167,172.5,top
C33,85.328433,-73.21216,337.5,top
C34,196.98,-149.63,45.0,top
C35,107.3867,-44.465266,307.5,top
C36,123.21216,-35.328433,292.5,top
C37,140.863167,-30.59886,277.5,top
C38,159.136833,-30.59886,262.5,top
C39,176.78784,-35.328433,247.5,top
C4,172.8,-108.5,90.0,bottom
C40,193.63,-42.94,232.5,top
C41,203.39,-52.62,225.0,top
C42,214.671567,-73.21216,22.5,top
C43,219.40114,-90.863167,187.5,top
C44,217.733154,-122.809935,157.5,top
C5,167.9025,-106.82,90.0,bottom
C6,172.52,-90.7,90.0,bottom
C7,167.71,-89.36,90.0,bottom
C8,153.51,-112.62,180.0,bottom
C9,152.11,-108.7625,90.0,bottom
CAM_1,109.75,-72.475,0.0,top
CAM_2,120.3625,-72.475,0.0,top
CAM_3,130.95,-72.475,0.0,top
D1,186.02,-64.2,180.0,top
D10,168.634971,-30.45334,165.0,top
D11,186.0,-37.646171,150.0,top
D12,200.911689,-49.088311,135.0,top
D13,212.353829,-64.0,120.0,top
D14,219.54666,-81.365029,105.0,top
D15,222.0,-100.0,90.0,top
D16,219.54666,-118.634971,75.0,top
D17,212.353829,-136.0,60.0,top
D18,200.911689,-150.911689,45.0,top
D19,186.0,-162.353829,30.0,top
D2,183.1985,-141.7,180.0,top
D20,168.634971,-169.54666,15.0,top
D21,150.0,-172.0,0.0,top
D22,131.365029,-169.54666,345.0,top
D23,114.0,-162.353829,330.0,top
D24,99.088311,-150.911689,315.0,top
D25,87.646171,-136.0,300.0,top
D26,80.45334,-118.634971,285.0,top
D3,78.0,-100.0,270.0,top
D4,80.45334,-81.365029,255.0,top
D5,87.646171,-64.0,240.0,top
D6,98.770474,-49.502525,225.0,top
D7,113.585786,-37.964008,210.0,top
D8,130.882667,-30.653141,195.0,top
D9,150.0,-28.0,180.0,top
DPDM_1,100.425,-57.62,0.0,top
J1,196.57,-115.515,180.0,bottom
J10,173.731373,-42.724469,90.0,top
J11,173.1,-74.8,180.0,top
J12,146.15,-74.8,180.0,top
J13,209.0,-100.0,270.0,top
J14,159.625,-74.8,180.0,top
J15,186.5,-74.8,180.0,top
J16,126.278627,-42.724469,270.0,top
J17,150.02,-125.285,90.0,top
J2,105.035,-143.49,0.0,top
J3,128.695,-140.95,180.0,top
J4,136.3385,-51.125,90.0,top
J5,136.3385,-66.365,90.0,top
J6,81.632915,-128.318574,292.5,top
J8,223.36692,-109.658938,82.5,top
J9,76.63308,-109.658938,277.5,top
KICK_1,162.8,-58.7,90.0,bottom
LED_1,155.156373,-41.524469,0.0,bottom
LINE_1,102.49,-110.0,0.0,bottom
MOTOR_1,120.91,-100.0,90.0,bottom
NEOPIX1,119.25,-112.6875,180.0,bottom
NONE_1,114.451,-58.66,0.0,bottom
PHOTO_1,146.203627,-41.524469,0.0,bottom
R1,180.4,-115.4,0.0,bottom
R10,218.119105,-105.695307,82.5,top
R11,82.919105,-111.479693,277.5,top
R12,130.02,-59.64,0.0,top
R13,130.01,-62.67,0.0,top
R14,89.24,-92.49,180.0,bottom
R15,159.94,-41.22,270.0,bottom
R16,140.6,-43.1,90.0,bottom
R17,89.39,-107.61,180.0,bottom
R18,122.2,-112.6625,270.0,bottom
R19,116.3,-112.6625,270.0,bottom
R2,180.0,-97.4,0.0,bottom
R3,173.9,-156.37,90.0,bottom
R4,85.8,-123.5,112.5,top
R5,88.1,-129.3,292.5,top
R8,217.419105,-111.595307,262.5,top
R9,82.225,-106.725,97.5,top
SW1,91.075,-96.375,90.0,top
SW2,87.605,-96.375,270.0,top
SW3,91.075,-103.575,90.0,top
SW4,87.605,-103.55,270.0,top
TACT_1,135.34,-157.74,90.0,top
TACT_2,150.0,-157.74,90.0,top
TACT_3,164.69,-157.74,90.0,top
TOGGLE_1,177.4,-156.0,0.0,top
U1,117.71,-144.55,90.0,bottom
U2,180.01,-106.84,180.0,bottom
U3,179.72,-89.07,180.0,bottom
U4,146.45,-110.3,180.0,bottom
U6,183.52,-59.62,0.0,top
U7,180.71,-138.63,0.0,top
